,away_corner,away_half_score,away_rank,away_red,away_score,away_team,away_yellow,competition_id,home_corner,home_half_score,home_rank,home_red,home_score,home_team,home_yellow,match_id,open_date,season_id,season_name
231,-1,0,,0,0,10018,0,82,-1,0,,0,0,10181,0,100231,1080399600,376,2003-2004
232,-1,0,,0,0,10183,0,82,-1,0,,0,1,10182,0,100232,1080399600,376,2003-2004
233,-1,1,,0,2,10185,0,82,-1,1,,0,1,10006,0,100233,1080399600,376,2003-2004
234,-1,1,,0,2,10411,0,82,-1,1,,0,1,10179,0,100234,1080399600,376,2003-2004
235,-1,1,,0,2,10226,0,82,-1,1,,0,5,10180,0,100235,1080399600,376,2003-2004
236,-1,0,,0,1,10004,0,82,-1,0,,0,1,10250,0,100236,1080399600,376,2003-2004
237,-1,0,,0,0,10136,0,82,-1,1,,0,1,10007,0,100237,1080478800,376,2003-2004
238,-1,0,,0,0,10249,0,82,-1,0,,0,0,10247,0,100238,1080482400,376,2003-2004
239,-1,0,,0,1,10135,0,82,-1,0,,0,1,10215,0,100239,1080486300,376,2003-2004
240,-1,0,,0,0,10008,0,82,-1,0,,0,0,10018,0,100240,1081000800,376,2003-2004
241,-1,1,,0,2,10250,0,82,-1,2,,0,4,10136,0,100241,1081000800,376,2003-2004
242,-1,1,,0,1,10180,0,82,-1,0,,0,0,10183,0,100242,1081000800,376,2003-2004
243,-1,1,,0,4,10182,0,82,-1,0,,0,1,10226,0,100243,1081000800,376,2003-2004
244,-1,0,,0,0,10007,0,82,-1,1,,0,2,10004,0,100244,1081000800,376,2003-2004
245,-1,0,,0,1,10181,0,82,-1,1,,0,1,10411,0,100245,1081083600,376,2003-2004
246,-1,0,,0,0,10006,0,82,-1,3,,0,4,10249,0,100246,1081087200,376,2003-2004
247,-1,0,,0,2,10247,0,82,-1,2,,0,3,10175,0,100247,1081191600,376,2003-2004
248,-1,0,,0,0,10179,0,82,-1,1,,0,2,10135,0,100248,1082487600,376,2003-2004
