,match_id,status,competition_id,open_date,home_team,away_team,home_rank,home_score,home_half_score,home_red,home_yellow,home_corner,away_rank,away_score,away_half_score,away_red,away_yellow,away_corner
3251,103252,8,82,1322924400,10290,10005,11,1,1,0,0,0,14,1,0,0,4,0
3252,103253,8,82,1322924400,10006,11844,20,4,2,0,1,0,13,2,1,1,2,0
3253,103254,8,82,1322924400,10248,10215,19,0,0,0,3,0,7,4,2,0,2,0
3254,103255,8,82,1322924400,10183,10007,3,3,1,0,0,0,18,0,0,1,2,0
3255,103256,8,82,1322924400,10181,10184,1,5,1,0,0,0,10,1,0,0,1,0
3256,103257,8,82,1322933400,10411,10135,8,0,0,0,0,0,2,1,1,0,0,0
3257,103258,8,82,1323010800,10250,10246,8,0,0,0,0,0,13,1,1,0,1,0
3258,103259,8,82,1323014400,10226,10024,17,2,0,0,2,0,16,1,0,0,3,0
3259,103260,8,82,1323115200,10018,10249,15,1,0,0,3,0,7,0,0,1,1,0
3260,103261,8,82,1323529200,11844,10018,15,2,0,0,1,0,13,0,0,0,1,0
3261,103262,8,82,1323529200,10007,10411,19,1,0,0,1,0,9,2,2,0,2,0
3262,103263,8,82,1323529200,10249,10290,7,1,0,0,2,0,12,0,0,0,0,0
3263,103264,8,82,1323529200,10184,10136,11,4,1,0,3,0,6,2,1,1,3,0
3264,103265,8,82,1323529200,10005,10248,14,1,1,0,2,0,20,2,1,0,1,0
3265,103266,8,82,1323529200,10215,10250,5,1,0,0,2,0,10,0,0,0,2,0
3266,103267,8,82,1323529200,10135,10226,2,4,2,0,1,0,16,1,0,0,0,0
3267,103268,8,82,1323610200,10024,10006,17,2,0,0,3,0,18,1,1,0,2,0
3268,103269,8,82,1323619200,10246,10183,10,2,2,0,2,0,3,1,0,1,3,0
3269,103270,8,82,1323720000,10180,10181,5,2,1,0,4,0,1,1,1,1,4,0
3270,103271,8,82,1332593100,10180,10183,5,0,0,0,1,0,4,0,0,0,2,0
3271,103272,8,82,1332601200,10215,10411,3,3,2,0,0,0,15,0,0,0,5,0
3272,103273,8,82,1332601200,10007,10006,18,2,2,0,0,0,16,1,0,0,2,0
3273,103274,8,82,1332601200,11844,10250,8,0,0,0,1,0,10,2,0,0,2,0
3274,103275,8,82,1332601200,10249,10248,7,1,0,0,1,0,19,2,1,0,2,0
3275,103276,8,82,1332601200,10184,10226,14,2,2,1,3,0,20,1,1,0,2,0
3276,103277,8,82,1332601200,10024,10290,9,3,1,0,2,0,17,1,0,1,3,0
3277,103278,8,82,1332610200,10246,10181,11,1,0,0,1,0,2,1,0,0,2,0
3278,103279,8,82,1332687600,10005,10136,14,1,0,0,0,0,6,3,3,0,1,0
3279,103280,8,82,1332788400,10135,10018,2,1,1,0,1,0,13,0,0,0,0,0
3280,103281,8,82,1333202400,10226,10007,20,2,0,0,1,0,17,3,0,0,1,0
3281,103282,8,82,1333202400,10250,10005,9,2,1,0,2,0,14,0,0,0,1,0
3282,103283,8,82,1333202400,10181,10024,2,3,1,0,1,0,8,3,2,0,1,0
3283,103284,8,82,1333202400,10290,10215,18,2,1,0,5,0,3,1,1,0,2,0
3284,103285,8,82,1333202400,10248,10246,19,2,0,0,2,0,12,0,0,0,4,0
3285,103286,8,82,1333202400,10411,10180,15,2,0,0,1,0,5,4,1,0,0,0
3286,103287,8,82,1333202400,10018,10184,13,2,2,0,1,0,11,1,0,0,2,0
3287,103288,8,82,1333283400,10136,10249,6,2,1,0,3,0,8,0,0,1,3,0
3288,103289,8,82,1333292400,10183,11844,4,3,1,0,0,0,10,1,0,0,0,0
3289,103290,8,82,1333393200,10006,10135,17,0,0,0,1,0,1,2,0,0,1,0
3290,103291,8,82,1331996400,10018,11844,10,0,0,0,0,0,11,3,1,0,0,0
3291,103292,8,82,1331996400,10248,10005,20,1,0,0,2,0,14,1,0,0,4,0
3292,103293,8,82,1332077400,10226,10135,19,0,0,1,2,0,1,5,3,0,1,0
3293,103294,8,82,1332086400,10136,10184,6,1,1,0,0,0,13,0,0,0,3,0
3294,103295,8,82,1332273600,10006,10024,16,2,0,0,0,0,9,0,0,0,1,0
3295,103296,8,82,1332359100,10181,10180,2,2,0,0,1,0,5,1,0,0,2,0
3296,103297,8,82,1332359100,10183,10246,3,1,0,0,1,0,14,1,0,0,1,0
3297,103298,8,82,1332360000,10290,10249,18,3,0,0,0,0,7,2,0,0,0,0
3298,103299,8,82,1332360000,10250,10215,10,0,0,0,2,0,4,1,1,0,1,0
3299,103300,8,82,1335293100,10411,10007,15,1,0,0,0,0,19,2,0,0,2,0
3300,103301,8,82,1331383500,10007,10290,19,2,1,0,2,0,16,1,0,0,2,0
3301,103302,8,82,1331391600,10411,10018,15,1,0,0,2,0,8,0,0,0,0,0
3302,103303,8,82,1331391600,10024,10249,12,1,0,0,1,0,7,0,0,0,1,0
3303,103304,8,82,1331391600,10226,10006,18,0,0,0,1,0,17,2,1,0,2,0
3304,103305,8,82,1331391600,10180,10246,5,1,0,0,1,0,9,0,0,1,2,0
3305,103306,8,82,1331400600,10250,10183,13,1,1,0,2,0,3,0,0,0,2,0
3306,103307,8,82,1331474400,11844,10181,15,1,0,0,0,0,1,0,0,0,2,0
3307,103308,8,82,1331474400,10135,10005,2,2,1,0,0,0,12,0,0,1,2,0
3308,103309,8,82,1331481600,10184,10248,13,1,1,0,4,0,20,1,0,0,4,0
3309,103310,8,82,1331582400,10215,10136,4,2,1,0,2,0,6,1,1,0,3,0
3310,103311,8,82,1330778700,10249,10215,7,1,1,0,0,0,4,2,1,0,1,0
3311,103312,8,82,1330786800,10246,10184,12,1,0,0,0,0,8,0,0,0,1,0
3312,103313,8,82,1330786800,10248,11844,20,0,0,0,1,0,14,2,1,1,2,0
3313,103314,8,82,1330786800,10006,10411,18,1,0,0,1,0,15,1,1,0,0,0
3314,103315,8,82,1330786800,10005,10180,13,1,0,0,3,0,5,0,0,0,0,0
3315,103316,8,82,1330786800,10181,10007,1,2,1,0,0,0,19,0,0,0,0,0
3316,103317,8,82,1330786800,10290,10250,17,1,1,0,1,0,10,1,1,0,1,0
3317,103318,8,82,1330862400,10136,10024,6,1,0,0,5,0,12,1,1,2,5,0
3318,103319,8,82,1330869900,10018,10226,13,5,2,0,1,0,17,0,0,0,2,0
3319,103320,8,82,1330877400,10183,10135,3,1,0,0,1,0,2,3,1,0,2,0
3320,103321,8,82,1330182000,10248,10411,20,0,0,0,0,0,15,0,0,0,5,0
3321,103322,8,82,1330182000,10136,10226,6,2,2,0,1,0,18,2,0,0,1,0
3322,103323,8,82,1330182000,10290,10018,16,0,0,1,2,0,12,1,1,0,5,0
3323,103324,8,82,1330182000,10005,10024,14,4,2,0,1,0,9,0,0,0,1,0
3324,103325,8,82,1330182000,10180,10007,5,3,0,0,0,0,19,0,0,0,1,0
3325,103326,8,82,1330191000,10181,10006,1,3,1,0,0,0,17,0,0,0,2,0
3326,103327,8,82,1330263000,10215,10183,4,5,2,0,3,0,3,2,2,1,4,0
3327,103328,8,82,1330263000,10184,10135,8,1,0,0,1,0,2,2,1,0,2,0
3328,103329,8,82,1330268400,10246,11844,13,2,2,0,1,0,11,0,0,0,0,0
3329,103330,8,82,1331668800,10249,10250,7,3,1,0,1,0,9,0,0,0,4,0
3330,103331,8,82,1328964300,10135,10249,2,2,0,0,1,0,7,1,0,0,1,0
3331,103332,8,82,1328972400,10250,10180,11,2,1,0,0,0,4,0,0,0,3,0
3332,103333,8,82,1328972400,11844,10184,10,2,1,0,0,0,9,3,0,0,2,0
3333,103334,8,82,1328972400,10006,10290,19,3,3,0,1,0,16,2,0,0,1,0
