,match_id,match_count,model_count,change_count,league_count,won,drawn,lost
3957,104475,17308,4223,837,31,0.730000,0.160000,0.110000
3958,104476,22489,5346,878,25,0.710000,0.180000,0.110000
3959,104477,203030,26464,1029,35,0.390000,0.290000,0.320000
3960,104478,182794,26897,1008,1,0.440000,0.290000,0.270000
3961,104479,19000,1163,887,7,0.180000,0.210000,0.610000
3962,104480,71737,6552,948,16,0.270000,0.260000,0.470000
3963,104481,113012,19717,991,29,0.520000,0.260000,0.220000
3964,104482,189549,26881,1002,9,0.430000,0.290000,0.280000
3965,104483,128534,21417,988,29,0.500000,0.270000,0.230000
3966,104484,7176,310,717,0,0.130000,0.150000,0.720000
3967,104485,203030,26464,1029,35,0.390000,0.290000,0.320000
3968,104486,32402,2227,927,32,0.210000,0.230000,0.560000
3969,104487,183831,26636,1012,24,0.430000,0.290000,0.280000
3970,104488,42433,9277,933,1,0.660000,0.210000,0.130000
3971,104489,5346,1501,649,3,0.840000,0.100000,0.060000
3972,104490,158179,24335,997,34,0.460000,0.280000,0.260000
3973,104491,7176,310,717,0,0.130000,0.150000,0.720000
3974,104492,92143,16608,985,25,0.540000,0.250000,0.210000
3975,104493,13256,3379,797,35,0.760000,0.140000,0.100000
3976,104494,8270,2186,707,2,0.790000,0.130000,0.080000
3977,104495,158179,24335,997,34,0.460000,0.280000,0.260000
3978,104496,185963,27097,1017,11,0.440000,0.280000,0.280000
3979,104497,113012,19717,991,29,0.520000,0.260000,0.220000
3980,104498,66208,13335,973,25,0.600000,0.230000,0.170000
3981,104499,128631,21457,988,9,0.500000,0.270000,0.230000
3982,104500,94072,9186,963,4,0.290000,0.270000,0.440000
3983,104501,55024,4646,940,34,0.250000,0.250000,0.500000
3984,104502,29634,2078,913,33,0.210000,0.230000,0.560000
3985,104503,54134,11377,959,2,0.630000,0.220000,0.150000
3986,104504,34168,2491,921,4,0.220000,0.230000,0.550000
3987,104505,79044,7370,939,30,0.280000,0.270000,0.450000
3988,104506,170539,25662,998,31,0.450000,0.280000,0.270000
3989,104507,180780,22468,1014,15,0.370000,0.290000,0.340000
3990,104508,92143,16608,985,25,0.540000,0.250000,0.210000
3991,104509,153461,23415,987,35,0.460000,0.280000,0.260000
3992,104510,68586,13378,966,24,0.590000,0.240000,0.170000
3993,104511,173429,20638,1008,35,0.360000,0.290000,0.350000
3994,104512,160174,25316,1004,1,0.470000,0.270000,0.260000
3995,104513,88769,16816,996,5,0.570000,0.240000,0.190000
3996,104514,8653,389,767,34,0.130000,0.160000,0.710000
3997,104515,128534,21417,988,29,0.500000,0.270000,0.230000
3998,104516,13256,3379,797,35,0.760000,0.140000,0.100000
3999,104517,4151,1148,558,17,0.830000,0.110000,0.060000
4000,104518,34389,2503,925,30,0.220000,0.230000,0.550000
4001,104519,27308,6352,885,8,0.700000,0.190000,0.110000
4002,104520,7126,1931,704,28,0.810000,0.120000,0.070000
4003,104521,132904,14344,992,31,0.320000,0.280000,0.400000
4004,104522,71737,6552,948,16,0.270000,0.260000,0.470000
4005,104523,158179,24335,997,34,0.460000,0.280000,0.260000
4006,104524,88769,16816,996,5,0.570000,0.240000,0.190000
4007,104525,178834,21876,1015,19,0.370000,0.290000,0.340000
4008,104526,18315,1039,883,24,0.170000,0.200000,0.630000
4009,104527,113012,19717,991,29,0.520000,0.260000,0.220000
4010,104528,8270,2186,707,2,0.790000,0.130000,0.080000
4011,104529,27313,6352,885,13,0.700000,0.190000,0.110000
4012,104530,149291,16675,992,38,0.340000,0.290000,0.370000
4013,104531,51708,4220,937,33,0.240000,0.250000,0.510000
4014,104532,174652,26491,1007,10,0.460000,0.280000,0.260000
4015,104533,81075,15039,979,33,0.560000,0.250000,0.190000
4016,104534,198854,28522,1016,32,0.430000,0.280000,0.290000
4017,104535,158179,24335,997,34,0.460000,0.280000,0.260000
4018,104536,87706,8616,943,34,0.290000,0.280000,0.430000
4019,104537,153461,23415,987,35,0.460000,0.280000,0.260000
4020,104538,43478,3316,948,32,0.230000,0.240000,0.530000
4021,104539,123021,12709,982,15,0.310000,0.280000,0.410000
